id,location,fx_version,os,version,survey_answers,number_extensions
4944,"",3.5.15,"WINNT Windows NT 5.1",1.0.1,"",6
4945,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",5
4946,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
4947,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
4948,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
4949,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",11
4950,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",1
4951,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
4952,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",1
4953,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
4954,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
4955,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
4956,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",1
4957,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
4958,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
4959,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",4
4960,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
4961,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
4962,"",4.0b3,"WINNT Windows NT 6.1",1.0.1,"",6
4963,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
4964,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
4965,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
4966,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
4967,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
4968,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
4969,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
4970,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
4971,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",2
4972,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
4973,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
4974,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
4975,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
4976,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
4977,"",3.6.12,"WINNT Windows NT 5.1",1.0.1,"",10
4978,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
4979,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
4980,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",11
4981,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",11
4982,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
4983,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
4984,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
4985,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",22
4986,"",4.0b7,"Linux Linux i686 on x86_64",1.0.3,"",7
4987,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
4988,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
4989,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
4990,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",14
4991,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
4992,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
4993,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
4994,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
4995,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
4996,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
4997,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",1
4998,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
4999,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5000,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
5001,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5002,"",3.6.12,"WINNT Windows NT 6.1",1.0.3,"",9
5003,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5004,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5005,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5006,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",2
5007,"",3.6.3,"WINNT Windows NT 6.1",1.0.1,"",8
5008,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5009,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",4
5010,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",21
5011,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5012,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",12
5013,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",3
5014,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
5015,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",1
5016,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",5
5017,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
5018,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5019,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",13
5020,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5021,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
5022,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",20
5023,"",4.0b4,"WINNT Windows NT 6.1; WOW64",1.0.2,"",2
5024,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5025,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5026,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5027,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",10
5028,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
5029,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5030,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5031,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5032,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5033,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5034,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
5035,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5036,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5037,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5038,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5039,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5040,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5041,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5042,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
5043,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",13
5045,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",16
5046,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5047,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
5048,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5049,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5050,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5051,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5052,"",4.0b5,"Linux Linux i686",1.0.3,"",2
5053,"",4.0b3,"WINNT Windows NT 5.1",1.0.1,"",5
5054,"",4.0b6,"WINNT Windows NT 5.0",1.0.3,"",3
5055,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5056,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
5057,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",28
5058,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5059,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
5060,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5061,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",14
5062,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5063,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",7
5064,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
5065,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
5066,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5067,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5068,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5069,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5070,"",4.0b7,"WINNT Windows NT 6.1",1.0.3,"",1
5071,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
5072,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",30
5073,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5074,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5075,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5076,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
5077,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",10
5078,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5079,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5080,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5081,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5082,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5083,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",23
5084,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5085,"",4.0b6,"Darwin Intel Mac OS X 10.5",1.0.3,"",3
5086,"",4.0b6,"Darwin Intel Mac OS X 10.5",1.0.3,"",8
5087,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5088,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
5089,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5090,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5091,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5092,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5093,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",8
5094,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",18
5095,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5096,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5097,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5098,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5099,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",20
5100,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5101,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5102,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",5
5103,"",3.6.12,"WINNT Windows NT 6.1",1.0.1,"",25
5104,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
5105,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5106,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",4
5107,"",4.0b6,"Darwin Intel Mac OS X 10.5",1.0.3,"",5
5108,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5109,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5110,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5111,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5112,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",13
5113,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5114,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5115,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5116,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",3
5117,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",12
5118,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
5119,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",8
5120,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5121,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",11
5122,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",24
5123,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",4
5124,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5125,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",11
5126,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5127,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
5128,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5129,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",4
5130,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5131,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5132,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",7
5133,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",8
5134,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5135,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",9
5136,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",15
5137,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5138,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5139,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5140,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",24
5141,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",10
5142,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5143,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5144,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",1
5145,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
5146,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5147,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5148,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",1
5149,"",4.0b7,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
5150,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5151,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5152,"",4.0b7,"Darwin Intel Mac OS X 10.6",1.0.3,"",5
5153,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",6
5154,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5155,"",4.0b5,"WINNT Windows NT 6.1",1.0.3,"",8
5156,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",12
5157,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
5158,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",6
5159,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5160,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
5161,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5162,"",3.6.8,"WINNT Windows NT 6.0",1.0.3,"",6
5163,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
5164,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5165,"",4.0b6,"Darwin Intel Mac OS X 10.5",1.0.3,"",3
5166,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5167,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",1
5168,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",22
5169,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",10
5170,"",3.6.12,"WINNT Windows NT 6.1",1.0.1,"",10
5171,"",4.0b7,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5172,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5173,"",3.6.12,"WINNT Windows NT 6.1",1.0.1,"",14
5174,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",2
5175,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5176,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
5177,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",4
5178,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",6
5179,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5180,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
5181,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5182,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
5183,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5184,"",4.0b2,"WINNT Windows NT 6.0",1.0,"",5
5185,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
5186,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",3
5187,"",4.0b2,"WINNT Windows NT 6.0",1.0,"",3
5188,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5189,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",12
5190,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",14
5191,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5192,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5193,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5194,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5195,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5196,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
5197,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5198,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5199,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5200,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5201,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5202,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5203,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",21
5204,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5205,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
5206,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",29
5207,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5208,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5209,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5210,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5211,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",11
5212,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5213,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5214,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5215,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5216,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
5217,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5218,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5219,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5220,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5221,"",3.6.12,"Darwin Intel Mac OS X 10.5",1.0.1,"",7
5222,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",8
5223,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",7
5224,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",39
5225,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5226,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5227,"",4.0b7,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5228,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5229,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5230,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5231,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",9
5232,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5233,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5234,"",3.6.8,"WINNT Windows NT 5.1",1.0.3,"",11
5235,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5236,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5237,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",12
5238,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",6
5239,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5240,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
5241,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",6
5242,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5243,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",14
5244,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",16
5245,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
5246,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
5247,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5248,"",4.0b7,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
5249,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",11
5250,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",3
5251,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5252,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5253,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",4
5254,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5255,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
5256,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5257,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5258,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",20
5259,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5260,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",8
5261,"",4.0b6,"Linux Linux i686",1.0.3,"",7
5262,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5263,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",8
5264,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5265,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5266,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",3
5267,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",10
5268,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",3
5269,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5270,"",4.0b6,"WINNT Windows NT 5.0",1.0.3,"",10
5271,"",4.0b4,"WINNT Windows NT 5.1",1.0.2,"",9
5272,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5273,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
5274,"",4.0b5,"WINNT Windows NT 5.1",1.0.3,"",5
5275,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",3
5276,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",9
5277,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",12
5278,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5279,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5280,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",12
5281,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5282,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5283,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",8
5284,"",4.0b6,"Darwin Intel Mac OS X 10.6",1.0.3,"",6
5285,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",5
5286,"",4.0b6,"WINNT Windows NT 6.0",1.0.3,"",7
5287,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5288,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",13
5289,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
5290,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",4
5291,"",4.0b6,"WINNT Windows NT 6.0; WOW64",1.0.3,"",5
5292,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",10
5293,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5294,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5295,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",5
5296,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",7
5297,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",1
5298,"",4.0b4,"WINNT Windows NT 6.1",1.0.2,"",3
5299,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5300,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",2
5301,"",4.0b7,"WINNT Windows NT 5.1",1.0.3,"",5
5302,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5303,"",4.0b6,"WINNT Windows NT 5.1",1.0.1,"",33
5304,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",3
5305,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",2
5306,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",1
5307,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5308,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5309,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",2
5310,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",4
5311,"",4.0b6,"WINNT Windows NT 6.1",1.0.3,"",14
5312,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",5
5313,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5314,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",3
5315,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5316,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5317,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",14
5318,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",9
5319,"",4.0b6,"WINNT Windows NT 6.1; WOW64",1.0.3,"",4
5320,"",4.0b6,"WINNT Windows NT 5.1",1.0.3,"",13
